city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year,mpg_diff,engine_efficiency,engine_power_density,size_category,drivetrain_type,vehicle_age,fuel_efficiency_category,is_high_performance,is_luxury,is_electric,is_diesel,is_hybrid,is_automatic,is_manual,make_encoded,class_encoded,drive_encoded,fuel_type_encoded,transmission_encoded,size_category_encoded,drivetrain_type_encoded,city_mpg_scaled,combination_mpg_scaled,cylinders_scaled,displacement_scaled,highway_mpg_scaled,year_scaled,vehicle_age_scaled,engine_efficiency_scaled
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type coupe,a,2016,8,7.308970099667775,0.49916805324459235,sports,rear_wheel,8,medium,1,1,0,0,0,1,0,15,12,3,2,0,4,3,-0.3022119656344492,-0.2769286331029344,0.3943888756301469,0.06275304430908452,-0.23572922406173205,-0.9486832980505138,0.9486832980505138,-0.06450129991281527
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type convertible,a,2016,8,7.308970099667775,0.49916805324459235,sports,rear_wheel,8,medium,1,1,0,0,0,1,0,15,12,3,2,0,4,3,-0.3022119656344492,-0.2769286331029344,0.3943888756301469,0.06275304430908452,-0.23572922406173205,-0.9486832980505138,0.9486832980505138,-0.06450129991281527
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type s coupe,a,2016,8,7.308970099667775,0.49916805324459235,sports,rear_wheel,8,medium,1,1,0,0,0,1,0,15,12,3,2,0,4,3,-0.3022119656344492,-0.2769286331029344,0.3943888756301469,0.06275304430908452,-0.23572922406173205,-0.9486832980505138,0.9486832980505138,-0.06450129991281527
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type s convertible,a,2016,8,7.308970099667775,0.49916805324459235,sports,rear_wheel,8,medium,1,1,0,0,0,1,0,15,12,3,2,0,4,3,-0.3022119656344492,-0.2769286331029344,0.3943888756301469,0.06275304430908452,-0.23572922406173205,-0.9486832980505138,0.9486832980505138,-0.06450129991281527
11,midsize car,14,8.0,6.8,rwd,gas,18,bentley,mulsanne,a,2016,7,2.0558002936857562,0.8489388264669163,medium,rear_wheel,8,low,1,1,0,0,0,1,0,3,2,3,2,0,1,3,-1.2850151059090802,-1.3476544552935414,1.5153908477054991,3.084731445368671,-1.5542147145765044,-0.9486832980505138,0.9486832980505138,-0.07230025026952643
28,compact car,31,4.0,1.6,fwd,gas,35,hyundai,veloster,a,2016,7,19.254658385093165,0.39900249376558605,small,front_wheel,8,high,0,0,0,0,0,1,0,13,0,2,2,0,3,2,0.8034415671745109,0.9276379168614985,-0.7266130964452053,-1.050607419239184,0.9362578786180655,-0.9486832980505138,0.9486832980505138,-0.04676651627633564
27,compact car,30,4.0,1.6,fwd,gas,34,hyundai,veloster,m,2016,7,18.633540372670808,0.39900249376558605,small,front_wheel,8,medium,0,0,0,0,0,0,1,13,0,2,2,1,3,2,0.6805911746401819,0.7937971890876726,-0.7266130964452053,-1.050607419239184,0.7897594907830908,-0.9486832980505138,0.9486832980505138,-0.04768863924655163
24,midsize car,27,4.0,2.0,fwd,gas,32,hyundai,elantra gt,m,2016,8,13.432835820895523,0.49875311720698257,medium,front_wheel,8,medium,0,0,0,0,0,0,1,13,2,2,2,1,1,2,0.31203999703719526,0.39227500576619495,-0.7266130964452053,-0.7325044296539646,0.4967627151131414,-0.9486832980505138,0.9486832980505138,-0.05540969874343478
126,subcompact car,112,0.0,0.0,rwd,electricity,99,mitsubishi,i-miev,a,2016,-27,11200.0,0.0,small,rear_wheel,8,very_high,0,0,1,0,0,1,0,22,11,3,1,0,3,3,12.842780035538741,11.768736866541396,-2.96861704059591,-2.3230193775800627,10.312154700056446,-0.9486832980505138,0.9486832980505138,16.5523690705817
18,two seater,21,6.0,3.0,awd,gas,26,jaguar,f-type s awd coupe,a,2016,8,6.9767441860465125,0.49916805324459235,sports,all_wheel,8,medium,1,1,0,0,0,1,0,15,12,1,2,0,4,0,-0.4250623581687781,-0.4107693608767603,0.3943888756301469,0.06275304430908452,-0.38222761189670673,-0.9486832980505138,0.9486832980505138,-0.06499452847827963
